customer_id,name,age,gender,income,transaction_id,product_id,amount,payment_mode,date,purchased,income_missing,gender_label,city_Bangalore,city_Chennai,city_Delhi,city_Kolkata,city_Mumbai,city_Pune,city_Surat,fav_category_Electronics,fav_category_Grocery,fav_category_Sports,fav_category_Electronics,fav_category_Grocery,fav_category_Sports,fav_category_Electronics,fav_category_Grocery,fav_category_Sports,education,satisfaction,education_ord,satisfaction_ord
467.0,,56.0,Female,357950.0,T00001,P006,960.0,Cash,2025-09-28,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,PhD,Dissatisfied,4,1
915.0,Kabir,25.0,Male,96820.0,T00002,P002,1738.0,UPI,2025-05-02,1,0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,Bachelor's,Very Satisfied,2,4
841.0,Vivaan,36.0,Female,57194.0,T00003,,1582.0,Credit Card,2025-03-29,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,High School,Very Dissatisfied,0,0
152.0,Meera,53.0,Female,80263.0,T00004,P003,230.0,UPI,,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,Diploma,Satisfied,1,3
860.0,Aarav,19.0,Female,64983.489629553194,T00005,P005,1615.0,Debit Card,2025-10-21,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,Diploma,Very Dissatisfied,1,0
531.0,Diya,19.0,Male,25311.0,T00006,P005,1055.0,Credit Card,2025-10-04,1,0,1,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,Diploma,Satisfied,1,3
413.0,Riya,50.0,Male,73707.0,T00007,P005,1665.7319715258434,Debit Card,2025-09-10,0,0,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,Master's,Very Dissatisfied,3,0
835.0,Vivaan,42.0,Female,64983.489629553194,T00008,P001,2658.0,Cash,2025-06-19,1,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,PhD,Very Satisfied,4,4
567.0,Isha,45.0,Male,22747.0,T00009,P006,1665.7319715258434,Cash,2025-09-28,0,0,1,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,High School,Very Satisfied,0,4
144.0,Isha,20.0,Female,89092.0,T00010,P004,746.0,Debit Card,,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Master's,Neutral,3,2
915.0,Kabir,26.0,Male,30627.0,T00011,P005,700.0,Debit Card,2025-11-12,0,0,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Master's,Very Satisfied,3,4
402.0,Aarav,31.0,Male,93969.0,T00012,P004,2141.0,Cash,2025-09-22,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,Bachelor's,Very Satisfied,2,4
406.0,Isha,43.0,Female,88148.0,,P001,1463.0,Debit Card,2025-04-02,1,0,0,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,Master's,Very Satisfied,3,4
437.0,Diya,24.0,Female,68555.0,T00014,P002,2656.0,Debit Card,2025-09-21,1,0,0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,High School,Very Dissatisfied,0,0
309.0,Aryan,38.458750645327825,Female,55920.0,T00015,P001,2055.0,Debit Card,2025-02-19,1,0,0,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,High School,Very Satisfied,0,4
825.0,Isha,57.0,Male,39457.0,T00016,P005,1121.0,Cash,2025-02-23,1,0,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,Diploma,Very Satisfied,1,4
348.0,Riya,59.0,Male,72995.0,,P006,1600.0,Cash,2025-07-10,1,0,1,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,Master's,Dissatisfied,3,1
429.0,,35.0,Male,92409.0,T00018,P001,1679.0,Debit Card,2025-06-11,1,0,1,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,Bachelor's,Very Dissatisfied,2,0
,Vivaan,27.0,Male,52606.0,T00019,P001,915.0,UPI,2025-09-28,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Bachelor's,Very Dissatisfied,2,0
558.0,Kabir,38.458750645327825,Male,60397.0,T00020,P002,1375.0,Cash,2025-07-09,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,High School,Dissatisfied,0,1
978.0,Riya,57.0,Female,43247.0,T00021,P001,437.0,Debit Card,2025-02-22,0,0,0,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,PhD,Dissatisfied,4,1
446.0,Riya,38.458750645327825,Male,32185.0,T00022,P002,2364.0,Credit Card,2025-09-09,1,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,Diploma,Dissatisfied,1,1
493.0,Diya,58.0,Female,58044.0,T00023,P002,2162.0,UPI,2025-10-28,1,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,Diploma,Very Dissatisfied,1,0
117.0,Aryan,18.0,Female,68984.0,T00024,,2668.0,Credit Card,2025-12-10,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Diploma,Neutral,1,2
225.0,Diya,18.0,Male,87563.0,T00025,P003,2795.0,Cash,2025-03-04,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,Master's,Very Dissatisfied,3,0
543.0,Kabir,28.0,Female,595040.0,T00026,P001,491.0,Cash,2025-06-12,0,0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,Master's,Dissatisfied,3,1
436.0,Riya,52.0,Female,32666.0,,P004,1896.0,Debit Card,2025-08-19,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,PhD,Very Dissatisfied,4,0
208.0,Vivaan,58.0,Male,72251.0,T00028,P005,2282.0,Debit Card,2025-07-20,1,0,1,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,PhD,Satisfied,4,3
154.0,Isha,25.0,Female,98603.0,T00029,P002,602.0,Debit Card,2025-03-03,0,0,0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,Bachelor's,Satisfied,2,3
470.0,Kabir,41.0,Male,83335.0,T00030,P006,2873.0,Credit Card,2025-02-04,1,0,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,Bachelor's,Satisfied,2,3
222.0,Meera,18.0,Male,28110.0,T00031,P006,1585.0,UPI,2025-05-11,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,High School,Dissatisfied,0,1
945.0,Riya,18.0,Female,64983.489629553194,T00032,P005,497.0,Debit Card,2025-12-25,0,0,0,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,High School,Satisfied,0,3
155.0,Aryan,44.0,Male,20206.0,T00033,P005,1138.0,Cash,2025-12-12,1,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,PhD,Dissatisfied,4,1
964.0,Vivaan,59.0,Male,43419.0,T00034,P003,1584.0,Credit Card,2025-06-28,1,0,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,Master's,Very Satisfied,3,4
464.0,Diya,49.0,Female,74268.0,T00035,P005,195.0,Credit Card,2025-08-10,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,Bachelor's,Very Dissatisfied,2,0
377.0,Isha,54.0,Male,91910.0,T00036,P006,23168.0,Credit Card,2025-05-23,1,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,Master's,Dissatisfied,3,1
143.0,Meera,46.0,Male,53827.0,T00037,P001,2672.0,Debit Card,2025-06-09,1,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,Master's,Very Satisfied,3,4
969.0,Meera,24.0,Male,64983.489629553194,T00038,P002,1919.0,Cash,2025-03-07,1,0,1,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,Bachelor's,Neutral,2,2
887.0,Kabir,59.0,Female,84044.0,T00039,P002,1697.0,UPI,2025-05-14,1,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,PhD,Very Satisfied,4,4
362.0,Vivaan,45.0,Female,89163.0,T00040,,1463.0,Debit Card,2025-10-13,1,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,Diploma,Very Satisfied,1,4
403.0,Kabir,28.0,Male,38047.0,T00041,P001,1629.0,UPI,2025-12-14,1,0,1,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,Diploma,Dissatisfied,1,1
493.0,Vivaan,42.0,Male,64262.0,T00042,P006,2337.0,Debit Card,2025-08-13,1,0,1,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,Bachelor's,Satisfied,2,3
732.0,Aarav,18.0,Male,86842.0,T00043,P002,2780.0,Cash,2025-04-26,1,0,1,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,Diploma,Very Dissatisfied,1,0
718.0,Meera,30.0,Female,75016.0,T00044,P005,1382.0,Credit Card,2025-12-25,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,Master's,Satisfied,3,3
204.0,Meera,23.0,Male,41959.0,T00045,P006,1534.0,Debit Card,2025-05-17,1,0,1,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,Diploma,Very Dissatisfied,1,0
115.0,Kabir,54.0,Female,33545.0,T00046,P003,783.0,Credit Card,,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,PhD,Satisfied,4,3
771.0,Isha,32.0,Male,93530.0,T00047,P001,1731.0,Cash,2025-08-21,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,Bachelor's,Very Satisfied,2,4
860.0,Kabir,29.0,Female,72733.0,T00048,P001,1736.0,UPI,2025-04-23,1,0,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,Bachelor's,Neutral,2,2
720.0,,38.458750645327825,Male,46736.0,T00049,P003,101.0,UPI,2025-05-10,0,0,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,Master's,Very Satisfied,3,4
858.0,Aryan,45.0,Female,20854.0,T00050,P001,1859.0,Credit Card,2025-08-13,1,0,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,Bachelor's,Very Satisfied,2,4
749.0,Aarav,18.0,Female,66717.0,T00051,P006,1253.0,Cash,2025-02-22,1,0,0,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,PhD,Satisfied,4,3
634.0,Isha,43.0,Male,46309.0,,P006,1539.0,UPI,,1,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,High School,Satisfied,0,3
